word,tf,pmi,info_ent
八戒,0.00346065209806,5.44397595264,3.92479568639
师父,0.00304652420156,5.23822509652,3.55282151168
三藏,0.00253653336605,5.00497477228,3.9083461678
和尚,0.00145519941409,6.22729235471,3.22255367486
怎么,0.0014149369797,5.28091956409,4.16413313035
菩萨,0.00123663191316,6.6753384956,4.48907828296
妖精,0.00120787303145,5.00684339851,3.51153402286
什么,0.000956712131263,5.89021371555,3.62633224846
呆子,0.000826338534217,5.15391718127,2.58701955456
徒弟,0.000811000463977,5.61465039857,2.67134617934
闻言,0.000703633972292,5.40434919682,2.77830390968
悟空,0.00065378524401,6.00686492312,2.41632572167
宝贝,0.000513825353063,6.55401851104,3.41073938455
兄弟,0.000502321800383,5.47263491672,2.76419439166
取经,0.00044672129576,5.24932705401,3.14034921256
铁棒,0.000410293378939,6.19202975709,3.07954736488
东土,0.000377699979677,5.88694200069,2.79023512925
公主,0.000373865462117,5.921669469,4.014864525
果然,0.000368113685777,5.1584965744,3.72468393398
性命,0.000350858356756,5.88892726348,3.04046132478
哥哥,0.000348941097976,5.63224642517,0.98156988495
变作,0.000329768510175,5.33591383159,3.01888085516
神通,0.000308678663594,5.46540202173,3.23101346531
土地,0.000304844146034,5.24340714673,3.6222168386
爷爷,0.000295257852133,5.59266910836,2.4758151994
模样,0.000285671558233,7.28926871591,2.94400439672
欢喜,0.000283754299453,6.25550839271,3.06952798993
贫僧,0.000278002523113,5.08582965524,3.24335178631
多少,0.000274168005552,5.58734180397,2.47670167847
金箍,0.000272250746772,5.70868857649,1.12393472308
手段,0.000260747194092,5.88872915629,3.11377551406
兵器,0.000258829935312,6.89591072132,3.47666190671
衣服,0.000249243641411,6.7910186963,3.0625167345
娘娘,0.000249243641411,6.41586358129,3.41352326022
师徒们,0.000233905571171,5.35751749011,4.01493105725
仔细,0.00023198831239,7.51212493052,3.09094135817
变化,0.00023007105361,5.04370084076,3.81831194835
袈裟,0.00022623653605,8.39392948633,3.35492809086
吩咐,0.00022048475971,8.38527142358,3.69669963848
所以,0.00021856750093,6.35910529279,4.05299532768
关文,0.00021473298337,6.44469556929,2.2564237418
左右,0.00021473298337,7.18889792065,4.10949710968
钉钯,0.00021281572459,7.0470528344,3.14865537885
言语,0.00021089846581,5.0557665358,3.4849073899
经》,0.000207063948249,5.94010351187,2.46320927979
金箍棒,0.000207063948249,6.11883753391,3.16692462459
奈何,0.000197477654349,5.57700348103,2.67116886445
陛下,0.000195560395569,5.27694175941,2.36536075442
五百,0.000193643136789,5.15765266012,2.13348898819
递与,0.000191725878009,5.22284906633,2.80597027366
毫毛,0.000191725878009,7.14138445925,2.60493069702
玉帝,0.000189808619229,6.19414014739,3.49588945794
安排,0.000184056842888,6.53677943587,3.27858200751
观音,0.000180222325328,5.95250794848,2.38703482197
叩头,0.000180222325328,5.40178278942,2.47596899258
忍不住,0.000180222325328,6.10067374862,3.49702914284
扯住,0.000178305066548,5.09784965124,2.65801078459
战兢兢,0.000176387807768,7.07783938388,2.76453453604
哥啊,0.000174470548988,5.27420020916,0.405640765155
筋斗,0.000168718772648,6.59217264875,2.25411377422
许多,0.000168718772648,5.63520155005,2.36088852124
径至,0.000164884255087,5.02370209794,3.68423760641
毕竟,0.000164884255087,7.68315188305,0.687439203007
收拾,0.000164884255087,6.86423377489,3.31486926406
往西天,0.000164884255087,5.11614536712,1.50055308533
葫芦,0.000161049737527,8.61073721919,3.29942239235
小的们,0.000161049737527,5.55917434138,2.19856914444
造化,0.000159132478747,6.31460281749,2.90118088642
孩儿,0.000159132478747,5.30929361042,3.18381900699
汝等,0.000157215219967,5.45247574662,3.32214181592
罗刹,0.000157215219967,7.43210197223,2.86200899162
未曾,0.000155297961187,5.25418655087,3.98057586818
求经,0.000151463443627,5.09950008009,1.57327872071
揭谛,0.000151463443627,8.10780408506,2.69739764344
可怜,0.000149546184847,6.11509221118,3.06392778874
卷《,0.000143794408506,7.06035673621,1.53999117395
皇帝,0.000143794408506,6.76457817396,2.62138166916
雷音,0.000141877149726,6.40219710386,2.27265502097
佛祖,0.000141877149726,5.87352879877,3.60595980264
竟不知,0.000141877149726,6.03723498089,0.0715848336929
壁厢,0.000139959890946,7.60393247978,1.22371558395
身一变,0.000139959890946,5.79031151119,0.125574980449
毕竟不知,0.000139959890946,6.05065800122,2.7610025903
御弟,0.000138042632166,5.32798098443,2.910835937
磕头,0.000138042632166,5.31747568296,2.85134320829
厉声,0.000136125373386,6.18453817023,0.678149059523
受用,0.000136125373386,5.62021493591,3.63075364276
东土大唐,0.000136125373386,5.91759371822,1.74895179264
摇身一变,0.000136125373386,6.46881519373,0.742412670778
列位,0.000132290855826,6.78749287999,2.24514290482
保护,0.000132290855826,6.47170358031,2.70529502786
耳朵,0.000130373597046,7.36138563561,3.23910392714
唤做,0.000130373597046,5.02549977198,3.35415572214
悟净,0.000128456338266,5.6087402423,2.71325121657
咒语,0.000128456338266,6.4206076657,2.00897423179
须臾,0.000126539079486,7.35048357897,2.77341545391
马匹,0.000126539079486,5.78833356753,2.37988316194
法力,0.000126539079486,5.03010655198,3.22142566192
齐天大圣,0.000126539079486,5.87363933265,3.27414213065
诗曰,0.000124621820706,7.36589448627,1.35685071257
驸马,0.000122704561926,6.21379934235,3.06822439478
好歹,0.000122704561926,5.46437549566,2.42499477095
合掌,0.000120787303145,6.69055196137,2.64237615239
芭蕉,0.000120787303145,8.97447848393,1.36925542954
声高叫,0.000120787303145,5.53188235102,0.397117270661
昨日,0.000118870044365,5.75052716171,3.22304662603
